# gene name           KO     thrshld  score   E-value KO definition
* LOC_Os04g59460.1    K11789  271.60 1198.3         0 DDB1- and CUL4-associated factor 1 [EC:2.7.11.1]
* LOC_Os04g59494.2    K18752  507.20 1331.1         0 transportin-1
* LOC_Os04g59494.1    K18752  507.20 1331.1         0 transportin-1
* LOC_Os04g59494.1    K02961   85.33  132.0   1.5e-38 small subunit ribosomal protein S17
* LOC_Os04g59494.4    K18752  507.20 1397.8         0 transportin-1
* LOC_Os04g59540.1    K00921  229.60 1188.1         0 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
* LOC_Os04g59550.5    K26222  288.67  534.9  3.8e-161 UDP-galactose transporter
* LOC_Os04g59550.4    K26222  288.67  643.8  2.8e-194 UDP-galactose transporter
* LOC_Os04g59550.1    K26222  288.67  644.6  1.6e-194 UDP-galactose transporter
* LOC_Os04g59550.2    K26222  288.67  638.2  1.5e-192 UDP-galactose transporter
* LOC_Os04g59550.3    K26222  288.67  643.8  2.8e-194 UDP-galactose transporter
* LOC_Os04g59560.1    K17262  122.57  314.5   6.6e-94 tubulin-specific chaperone B
* LOC_Os04g59600.2    K18213  303.57  571.6  1.2e-171 proteinaceous RNase P [EC:3.1.26.5]
* LOC_Os04g59600.1    K18213  303.57  665.9  3.6e-200 proteinaceous RNase P [EC:3.1.26.5]
* LOC_Os04g59610.3    K22013   59.67  174.9   1.8e-51 magnesium dechelatase [EC:4.99.1.10]
* LOC_Os04g59610.2    K22013   59.67  277.0   1.7e-82 magnesium dechelatase [EC:4.99.1.10]
* LOC_Os04g59610.1    K22013   59.67  142.6   1.2e-41 magnesium dechelatase [EC:4.99.1.10]
* LOC_Os04g59624.1    K20093  672.33  782.2  4.4e-235 DNA excision repair protein ERCC-6-like [EC:5.6.2.-]
* LOC_Os04g59624.3    K20093  672.33 1013.5         0 DNA excision repair protein ERCC-6-like [EC:5.6.2.-]
* LOC_Os04g59624.2    K20093  672.33 1015.0         0 DNA excision repair protein ERCC-6-like [EC:5.6.2.-]
* LOC_Os04g59630.1    K05906  132.53  159.1   7.5e-47 prenylcysteine oxidase / farnesylcysteine lyase [EC:1.8.3.5 1.8.3.6]
* LOC_Os05g01020.2    K11644  199.03  978.3  3.6e-294 paired amphipathic helix protein Sin3a
* LOC_Os05g01090.2    K13343   55.87  195.3   9.4e-58 peroxin-14
* LOC_Os05g01090.3    K13343   55.87  195.2     1e-57 peroxin-14
* LOC_Os05g01090.1    K13343   55.87  195.6   7.5e-58 peroxin-14
* LOC_Os05g01110.1    K02902   19.13  112.3   2.3e-32 large subunit ribosomal protein L28
* LOC_Os05g01230.1    K10638  636.70  730.6  1.3e-219 E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27]
* LOC_Os05g01250.1    K12198  121.73  384.4    3e-115 charged multivesicular body protein 5
* LOC_Os05g01262.2    K13250   56.10  169.9   3.9e-50 translocon-associated protein subunit beta
* LOC_Os05g01262.1    K13250   56.10  169.3   5.8e-50 translocon-associated protein subunit beta
* LOC_Os05g01270.1    K03768  237.37  280.8   9.5e-84 peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]
* LOC_Os05g01310.1    K06867  111.53  112.1   1.7e-32 uncharacterized protein
* LOC_Os05g01310.2    K06867  111.53  112.1   1.7e-32 uncharacterized protein
* LOC_Os05g01310.3    K06867  111.53  111.7   2.3e-32 uncharacterized protein
* LOC_Os05g01360.1    K20177  471.40  691.9    1e-207 vacuolar protein sorting-associated protein 3
* LOC_Os05g01440.1    K01952  602.63 1881.7         0 phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
* LOC_Os05g01450.2    K03249  202.33  218.1   1.1e-64 translation initiation factor 3 subunit F
* LOC_Os05g01450.1    K03249  202.33  382.0  1.9e-114 translation initiation factor 3 subunit F
* LOC_Os05g01460.1    K09561  132.90  347.3  5.3e-104 STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]
* LOC_Os05g01460.2    K09561  132.90  154.6   1.9e-45 STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]
* LOC_Os05g01460.5    K09561  132.90  166.1   6.4e-49 STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]
* LOC_Os05g01460.3    K09561  132.90  154.6   1.9e-45 STIP1 homology and U-box containing protein 1 [EC:2.3.2.27]
* LOC_Os05g01470.1    K08247 1551.70 2067.9         0 methionine S-methyltransferase [EC:2.1.1.12]
* LOC_Os05g01470.2    K08247 1551.70 2100.4         0 methionine S-methyltransferase [EC:2.1.1.12]
* LOC_Os05g01480.1    K07904  360.10  396.8  3.8e-119 Ras-related protein Rab-11A
* LOC_Os05g01490.1    K07874  290.10  360.3  2.8e-108 Ras-related protein Rab-1A
* LOC_Os05g01500.1    K21768  291.97  474.5  2.8e-142 tubulin-specific chaperone E
* LOC_Os05g01520.1    K20102  128.03  375.3  5.1e-112 YTH domain-containing family protein
* LOC_Os05g01540.2    K14325  104.93  172.5   7.7e-51 RNA-binding protein with serine-rich domain 1
* LOC_Os05g01540.1    K14325  104.93  106.6   8.2e-31 RNA-binding protein with serine-rich domain 1
* LOC_Os05g01560.1    K02155  129.23  326.7     9e-98 V-type H+-transporting ATPase 16kDa proteolipid subunit
* LOC_Os05g01560.2    K02155  129.23  285.4   3.4e-85 V-type H+-transporting ATPase 16kDa proteolipid subunit
* LOC_Os05g01600.2    K10355  820.17  845.8  3.1e-255 actin, other eukaryote
* LOC_Os05g01600.1    K10355  820.17  845.8  3.1e-255 actin, other eukaryote
* LOC_Os05g01650.1    K07497   14.00   26.7   1.9e-06 putative transposase
* LOC_Os05g01675.1    K02689  995.10 1635.3         0 photosystem I P700 chlorophyll a apoprotein A1 [EC:1.97.1.12]
* LOC_Os05g01700.1    K25819  695.00 2254.7         0 ATP-binding cassette, subfamily D (ALD), peroxisomal ABC transporter [EC:7.6.2.4]
* LOC_Os05g01710.3    K03123   47.07  196.9   1.2e-58 transcription initiation factor TFIIA small subunit
* LOC_Os05g01710.2    K03123   47.07  196.9   1.2e-58 transcription initiation factor TFIIA small subunit
* LOC_Os05g01710.1    K03123   47.07  196.9   1.2e-58 transcription initiation factor TFIIA small subunit
* LOC_Os05g01750.1    K03177  194.60  367.2  8.2e-110 tRNA pseudouridine55 synthase [EC:5.4.99.25]
* LOC_Os05g01750.2    K03177  194.60  214.8   1.5e-63 tRNA pseudouridine55 synthase [EC:5.4.99.25]
* LOC_Os05g01780.1    K08867  252.43  631.2  1.9e-189 WNK lysine deficient protein kinase [EC:2.7.11.1]
* LOC_Os05g01780.2    K08867  252.43  587.4  3.1e-176 WNK lysine deficient protein kinase [EC:2.7.11.1]
* LOC_Os05g01810.1    K16290  552.77  645.3  7.3e-194 xylem cysteine proteinase [EC:3.4.22.-]
* LOC_Os05g01820.1    K23490  123.03  175.7   6.3e-52 cytochrome b5
* LOC_Os05g01910.1    K17943  124.43  820.8  1.2e-246 pumilio RNA-binding family
* LOC_Os05g01940.1    K11982  131.07  229.8   2.7e-68 E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
* LOC_Os05g01990.1    K14806  560.67  768.3    7e-231 ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13]
* LOC_Os05g01990.2    K14806  560.67  580.2    5e-174 ATP-dependent RNA helicase DDX31/DBP7 [EC:3.6.4.13]
* LOC_Os05g02030.1    K07466  129.30  152.5     8e-45 replication factor A1
* LOC_Os05g02040.1    K07466  129.30  836.0  1.2e-251 replication factor A1
* LOC_Os05g02090.1    K15255  133.30  505.5  1.5e-151 ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
* LOC_Os05g02110.1    K01102  186.97  280.4   1.8e-83 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
* LOC_Os05g02120.1    K19882   97.30  491.8    2e-147 O-palmitoleoyl-L-serine hydrolase [EC:3.1.1.98]
* LOC_Os05g02240.1    K26731  283.43 1000.0  8.1e-301 K+:H+ antiporter
* LOC_Os05g02300.1    K11251   47.70  259.3   2.8e-77 histone H2A
* LOC_Os05g02310.1    K01507   18.60  244.6   1.1e-72 inorganic pyrophosphatase [EC:3.6.1.1]
* LOC_Os05g02330.1    K07497   14.00   36.8   1.7e-09 putative transposase
* LOC_Os05g02490.1    K15276  302.57  491.0    3e-147 solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2
* LOC_Os05g02510.1    K12373  101.23  451.8  2.4e-135 hexosaminidase [EC:3.2.1.52]
* LOC_Os05g02530.1    K21888  175.17  423.8  2.3e-127 glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
* LOC_Os05g02530.1    K00799   71.97   81.0   6.1e-23 glutathione S-transferase [EC:2.5.1.18]
* LOC_Os05g02650.1    K22755  189.23  703.7  2.6e-211 E3 UFM1-protein ligase 1 [EC:2.3.2.-]
* LOC_Os05g02670.3    K10398  579.57 1157.4         0 kinesin family member 11
* LOC_Os05g02670.2    K10398  579.57 1157.4         0 kinesin family member 11
* LOC_Os05g02670.1    K10398  579.57 1157.4         0 kinesin family member 11
* LOC_Os05g02680.1    K11671  343.47  682.5  8.6e-205 nuclear factor related to kappa-B-binding protein
* LOC_Os05g02710.1    K23222   77.00  151.4   1.7e-44 nuclease HARBI1 [EC:3.1.-.-]
* LOC_Os05g02750.1    K02069   58.93  339.1  1.9e-101 UDP-glucose/iron transport system permease protein
* LOC_Os05g02810.1    K11271   42.00  351.6  3.6e-105 sister chromatid cohesion protein DCC1
* LOC_Os05g02870.1    K05681  599.77  641.0  1.2e-192 ATP-binding cassette, subfamily G (WHITE), member 2
* LOC_Os05g02890.1    K05681  599.77  630.3  2.2e-189 ATP-binding cassette, subfamily G (WHITE), member 2
* LOC_Os05g03000.1    K05794   86.53  349.7  1.3e-104 tellurite resistance protein TerC
* LOC_Os05g03000.2    K05794   86.53  349.7  1.3e-104 tellurite resistance protein TerC
* LOC_Os05g03030.1    K02864   50.97  109.0   1.5e-31 large subunit ribosomal protein L10
* LOC_Os05g03040.1    K09284  273.70  563.1  4.2e-169 AP2-like factor, euAP2 lineage
* LOC_Os05g03040.3    K09284  273.70  443.8  6.2e-133 AP2-like factor, euAP2 lineage
* LOC_Os05g03040.2    K09284  273.70  443.8  6.2e-133 AP2-like factor, euAP2 lineage
* LOC_Os05g03050.1    K10869  250.03  459.0  8.9e-138 RAD51-like protein 1
* LOC_Os05g03070.1    K15286  211.63  239.2   3.2e-71 solute carrier family 35, member E4
* LOC_Os05g03100.1    K10590  878.90  926.0    3e-278 E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]
* LOC_Os05g03174.1    K20869  220.93  440.8  4.3e-132 putative beta-1,4-xylosyltransferase IRX9 [EC:2.4.2.-]
* LOC_Os05g03174.2    K20869  220.93  440.8  4.3e-132 putative beta-1,4-xylosyltransferase IRX9 [EC:2.4.2.-]
* LOC_Os05g03200.1    K17815   75.53  402.5  1.4e-120 exonuclease V [EC:3.1.-.-]
* LOC_Os05g03280.1    K23222   77.00  154.7   1.6e-45 nuclease HARBI1 [EC:3.1.-.-]
* LOC_Os05g03430.1    K20304   64.87   65.0   2.5e-18 trafficking protein particle complex subunit 6
* LOC_Os05g03430.2    K20304   64.87   65.0   2.5e-18 trafficking protein particle complex subunit 6
* LOC_Os05g03460.1    K13430  484.27  572.7  3.9e-172 serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
* LOC_Os05g03480.5    K00253  485.50  677.5    5e-204 isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
* LOC_Os05g03480.4    K00253  485.50  560.0  2.1e-168 isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
* LOC_Os05g03480.2    K00253  485.50  762.6    8e-230 isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
* LOC_Os05g03630.1    K09510  451.20  480.9    2e-144 DnaJ homolog subfamily B member 4
* LOC_Os05g03660.1    K07497   14.00   34.9   6.6e-09 putative transposase
* LOC_Os05g03670.1    K07497   14.00   27.5   1.1e-06 putative transposase
* LOC_Os05g03780.1    K14689  471.00  484.2  1.6e-145 solute carrier family 30 (zinc transporter), member 2
* LOC_Os05g03800.1    K17604  159.30  309.9   1.8e-92 zinc finger SWIM domain-containing protein 3
* LOC_Os05g03820.3    K01919   81.73  601.2  1.3e-180 glutamate--cysteine ligase [EC:6.3.2.2]
* LOC_Os05g03820.2    K01919   81.73  601.2  1.3e-180 glutamate--cysteine ligase [EC:6.3.2.2]
* LOC_Os05g03820.1    K01919   81.73  601.2  1.3e-180 glutamate--cysteine ligase [EC:6.3.2.2]
* LOC_Os05g03830.1    K00818  572.73  684.7  6.8e-206 acetylornithine aminotransferase [EC:2.6.1.11]
* LOC_Os05g03830.1    K00821  485.83  542.4  6.8e-163 acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
* LOC_Os05g03840.1    K01179   44.23  228.3   1.4e-67 endoglucanase [EC:3.2.1.4]
* LOC_Os05g03860.1    K25786  103.13  145.2   1.1e-42 bZIP transcription factor 1/2/11/44/53
* LOC_Os05g03865.1    K25786  103.13  145.2   1.1e-42 bZIP transcription factor 1/2/11/44/53
* LOC_Os05g03910.1    K23002  268.87  369.7  1.8e-110 RNA polymerase II-associated protein 3
* LOC_Os05g04070.1    K17911  105.30  172.2   1.2e-50 beta-carotene isomerase [EC:5.2.1.14]
* LOC_Os05g04120.1    K14685  118.47  215.8   5.3e-64 solute carrier family 40 (iron-regulated transporter), member 1
* LOC_Os05g04170.3    K01897  448.10  588.9  8.8e-177 long-chain acyl-CoA synthetase [EC:6.2.1.3]
* LOC_Os05g04170.4    K01897  448.10  571.6  1.5e-171 long-chain acyl-CoA synthetase [EC:6.2.1.3]
* LOC_Os05g04170.2    K01897  448.10  588.9  8.8e-177 long-chain acyl-CoA synthetase [EC:6.2.1.3]
* LOC_Os05g04170.1    K01897  448.10  581.0  2.2e-174 long-chain acyl-CoA synthetase [EC:6.2.1.3]
* LOC_Os05g04210.1    K09422  178.00  222.8   3.1e-66 transcription factor MYB, plant
* LOC_Os05g04220.1    K04751  116.57  142.5   7.9e-42 nitrogen regulatory protein P-II 1
* LOC_Os05g04260.1    K15255  133.30  486.0  1.2e-145 ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
* LOC_Os05g04300.1    K07497   14.00   41.7   5.6e-11 putative transposase
* LOC_Os05g04340.1    K00924  367.67  382.0  3.3e-114 kinase [EC:2.7.1.-]
* LOC_Os05g04350.1    K07497   14.00   42.9   2.4e-11 putative transposase
* LOC_Os05g04360.1    K14803  383.33  394.7  2.5e-118 protein phosphatase PTC2/3 [EC:3.1.3.16]
* LOC_Os05g04370.1    K20827   43.67  296.1   4.4e-88 RNA polymerase II-associated protein 2 [EC:3.1.3.16]
* LOC_Os05g04380.2    K00430  110.93  215.5   9.4e-64 peroxidase [EC:1.11.1.7]
* LOC_Os05g04380.1    K00430  110.93  365.5  3.5e-109 peroxidase [EC:1.11.1.7]
* LOC_Os05g04410.1    K00430  110.93  312.6   3.6e-93 peroxidase [EC:1.11.1.7]
* LOC_Os05g04440.1    K00430  110.93  360.0  1.6e-107 peroxidase [EC:1.11.1.7]
* LOC_Os05g04450.1    K00430  110.93  422.4    2e-126 peroxidase [EC:1.11.1.7]
* LOC_Os05g04470.1    K00430  110.93  446.0  1.5e-133 peroxidase [EC:1.11.1.7]
* LOC_Os05g04490.1    K00430  110.93  497.6  3.3e-149 peroxidase [EC:1.11.1.7]
* LOC_Os05g04500.1    K00430  110.93  450.2  7.4e-135 peroxidase [EC:1.11.1.7]
* LOC_Os05g04510.1    K00789   19.60  703.0  1.5e-211 S-adenosylmethionine synthetase [EC:2.5.1.6]
* LOC_Os05g04510.2    K00789   19.60  703.0  1.5e-211 S-adenosylmethionine synthetase [EC:2.5.1.6]
* LOC_Os05g04520.1    K13436  392.23  723.9    1e-217 pto-interacting protein 1 [EC:2.7.11.1]
* LOC_Os05g04550.1    K07198  459.93  520.7  4.1e-156 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os05g04620.1    K22849  147.47  353.8  7.1e-106 diacylglycerol O-acyltransferase 3, plant [EC:2.3.1.20]
* LOC_Os05g04630.1    K08245  456.53  832.3  1.1e-250 phytepsin [EC:3.4.23.40]
* LOC_Os05g04630.2    K08245  456.53  832.3  1.1e-250 phytepsin [EC:3.4.23.40]
* LOC_Os05g04630.6    K08245  456.53  832.3  1.1e-250 phytepsin [EC:3.4.23.40]
* LOC_Os05g04630.4    K08245  456.53  832.3  1.1e-250 phytepsin [EC:3.4.23.40]
* LOC_Os05g04630.3    K08245  456.53  832.3  1.1e-250 phytepsin [EC:3.4.23.40]
* LOC_Os05g04630.5    K08245  456.53  832.3  1.1e-250 phytepsin [EC:3.4.23.40]
* LOC_Os05g04660.1    K19222   76.03  189.1   4.4e-56 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
* LOC_Os05g04690.1    K20547  322.20  424.5    5e-127 basic endochitinase B [EC:3.2.1.14]
* LOC_Os05g04740.2    K12126  332.60  356.8  2.2e-106 phytochrome-interacting factor 3
* LOC_Os05g04740.1    K12126  332.60  364.1  1.4e-108 phytochrome-interacting factor 3
* LOC_Os05g04790.1    K07497   14.00   29.4   3.1e-07 putative transposase
* LOC_Os05g04820.1    K09422  178.00  266.5   1.5e-79 transcription factor MYB, plant
* LOC_Os05g04850.2    K12876   80.73  171.5   1.6e-50 RNA-binding protein 8A
* LOC_Os05g04850.1    K12876   80.73  271.8   3.7e-81 RNA-binding protein 8A
* LOC_Os05g04930.1    K19861  411.50  580.1  1.5e-174 benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]
* LOC_Os05g04990.1    K01611   19.40  325.9   3.2e-97 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* LOC_Os05g05130.1    K22696  132.17  211.4   1.4e-62 protein-lysine N-methyltransferase EEF2KMT [EC:2.1.1.-]
* LOC_Os05g05150.1    K10735   63.37  253.4   2.1e-75 GINS complex subunit 4
* LOC_Os05g05160.1    K04371  571.60  576.3  3.2e-173 mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
* LOC_Os05g05200.1    K25162  295.27  665.2  5.3e-200 membrane-bound O-acyltransferase GUP1_2
* LOC_Os05g05210.2    K11801  155.63  591.2  1.6e-177 DDB1- and CUL4-associated factor 11
* LOC_Os05g05210.1    K11801  155.63  591.2  1.6e-177 DDB1- and CUL4-associated factor 11
* LOC_Os05g05220.1    K14840  102.17  310.8   1.2e-92 nucleolar protein 53
* LOC_Os05g05240.1    K01090  382.23  487.8  2.1e-146 protein phosphatase [EC:3.1.3.16]
* LOC_Os05g05240.2    K01090  382.23  488.1  1.7e-146 protein phosphatase [EC:3.1.3.16]
* LOC_Os05g05260.1    K10844  395.60  940.7  5.9e-283 DNA excision repair protein ERCC-2 [EC:5.6.2.3]
* LOC_Os05g05270.1    K07024  224.50  675.3  2.3e-203 sucrose-6-phosphatase [EC:3.1.3.24]
* LOC_Os05g05280.1    K16284  153.57  676.4  5.4e-204 E3 ubiquitin-protein ligase SIS3 [EC:2.3.2.27]
* LOC_Os05g05280.1    K13343   55.87  481.7  2.2e-144 peroxin-14
* LOC_Os05g05420.1    K07497   14.00   27.6   1.1e-06 putative transposase
* LOC_Os05g05450.1    K17583  226.70  556.3  9.5e-167 nucleolar MIF4G domain-containing protein 1
* LOC_Os05g05470.1    K09498  473.43 1029.7         0 T-complex protein 1 subunit zeta
* LOC_Os05g05480.1    K25896 1034.23 1094.2         0 protease Do-like 2, chloroplastic [EC:3.4.21.-]
* LOC_Os05g05560.1    K17411   41.30  124.0     4e-36 small subunit ribosomal protein S33
* LOC_Os05g05620.1    K00799   71.97   96.2   1.5e-27 glutathione S-transferase [EC:2.5.1.18]
* LOC_Os05g05680.1    K05933  313.03  474.8  1.2e-142 aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]
* LOC_Os05g05690.1    K13667  103.07  151.0   2.4e-44 EGF-domain serine glucosyl/xylosyltransferase [EC:2.4.1.376 2.4.2.63]
* LOC_Os05g05700.2    K03347  735.00  971.1  2.6e-292 cullin 1
* LOC_Os05g05700.1    K03347  735.00 1023.2         0 cullin 1
* LOC_Os05g05710.1    K11583   66.27  341.8  4.2e-102 serine/threonine-protein phosphatase 2A regulatory subunit B''
* LOC_Os05g05720.1    K03354  236.67  718.2  5.4e-216 anaphase-promoting complex subunit 7
* LOC_Os05g05720.2    K03354  236.67  584.1  1.9e-175 anaphase-promoting complex subunit 7
* LOC_Os05g05730.1    K03676   80.77  114.1   4.5e-33 glutaredoxin 3
* LOC_Os05g05740.1    K06997   64.40  375.9  1.3e-112 PLP dependent protein
* LOC_Os05g05780.1    K11654  789.87 1481.9         0 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:5.6.2.-]
* LOC_Os05g05800.1    K14485  516.37  937.2  3.6e-282 transport inhibitor response 1
* LOC_Os05g05830.1    K01491  408.23  438.6    2e-131 methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
* LOC_Os05g05840.1    K01892  282.63  660.3  2.2e-198 histidyl-tRNA synthetase [EC:6.1.1.21]
* LOC_Os05g05860.1    K03006 1295.10 3094.4         0 DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]
* LOC_Os05g05930.1    K05770   23.87   64.4   6.1e-18 translocator protein
* LOC_Os05g05980.1    K03009   46.50   72.4     2e-20 DNA-directed RNA polymerases I, II, and III subunit RPABC4
* LOC_Os05g06050.1    K20891  194.67  464.7    2e-139 beta-glucuronosyltransferase [EC:2.4.1.-]
* LOC_Os05g06060.1    K04506   87.20  212.7   5.7e-63 E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
* LOC_Os05g06070.1    K04506   87.20  197.4   2.5e-58 E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
* LOC_Os05g06080.1    K04506   87.20  122.9   1.1e-35 E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
* LOC_Os05g06100.1    K04506   87.20  206.9   3.4e-61 E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
* LOC_Os05g06120.1    K10581  287.40  440.3  5.9e-132 ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
* LOC_Os05g06150.1    K23541   38.97   39.0   2.6e-10 Ca2+/H+ antiporter, TMEM165/GDT1 family
* LOC_Os05g06260.1    K16571  296.00  752.2  3.4e-226 gamma-tubulin complex component 4
* LOC_Os05g06280.2    K10393  410.20  715.7    4e-215 kinesin family member 2/24
* LOC_Os05g06280.1    K10393  410.20  712.0  5.5e-214 kinesin family member 2/24
* LOC_Os05g06290.1    K15141   49.83  106.2   9.2e-31 mediator of RNA polymerase II transcription subunit 28
* LOC_Os05g06300.1    K10527  713.17 1315.0         0 enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]
* LOC_Os05g06310.1    K02883   28.63  382.5    1e-114 large subunit ribosomal protein L18e
* LOC_Os05g06320.2    K14509  330.80  824.7  7.8e-248 ethylene receptor [EC:2.7.13.-]
* LOC_Os05g06320.3    K14509  330.80  406.2  1.8e-121 ethylene receptor [EC:2.7.13.-]
* LOC_Os05g06330.1    K22074   90.60  362.3  1.3e-108 NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
* LOC_Os05g06350.1    K15042  672.70  874.8  2.5e-263 importin subunit alpha-6/7
* LOC_Os05g06360.1    K10532  120.37  487.8  3.2e-146 heparan-alpha-glucosaminide N-acetyltransferase [EC:2.3.1.78]
* LOC_Os05g06380.1    K19861  411.50  529.7  3.1e-159 benzyl alcohol O-benzoyltransferase [EC:2.3.1.196 2.3.1.232]
* LOC_Os05g06430.2    K09584  273.77  343.5  1.5e-102 protein disulfide-isomerase A6 [EC:5.3.4.1]
* LOC_Os05g06430.1    K09584  273.77  345.2  4.5e-103 protein disulfide-isomerase A6 [EC:5.3.4.1]
* LOC_Os05g06440.1    K09517  387.37  606.6  1.8e-182 DnaJ homolog subfamily B member 11
* LOC_Os05g06450.1    K10389  447.93 1013.3         0 tubulin gamma
* LOC_Os05g06450.2    K10389  447.93 1013.3         0 tubulin gamma
* LOC_Os05g06460.1    K00382  459.67  616.8  1.8e-185 dihydrolipoyl dehydrogenase [EC:1.8.1.4]
* LOC_Os05g06470.1    K17491   95.93  305.0   7.8e-91 protein phosphatase 4 regulatory subunit 3
* LOC_Os05g06480.1    K23025  958.60 1409.6         0 H+-translocating diphosphatase [EC:7.1.3.1]
* LOC_Os05g06490.1    K16253  158.00  287.0   4.8e-86 DNA-directed RNA polymerase IV and V subunit 7
* LOC_Os05g06660.1    K16297  481.97  710.6  8.2e-214 serine carboxypeptidase-like clade II [EC:3.4.16.-]
* LOC_Os05g06660.2    K16297  481.97  704.1  7.6e-212 serine carboxypeptidase-like clade II [EC:3.4.16.-]
* LOC_Os05g06670.1    K04125  292.13  373.1  9.6e-112 gibberellin 2beta-dioxygenase [EC:1.14.11.13]
* LOC_Os05g06690.1    K10589  799.03 1006.7  1.2e-302 ubiquitin-protein ligase E3 C [EC:2.3.2.26]
* LOC_Os05g06690.3    K10589  799.03  805.0  9.9e-242 ubiquitin-protein ligase E3 C [EC:2.3.2.26]
* LOC_Os05g06690.2    K10589  799.03 1006.7  1.2e-302 ubiquitin-protein ligase E3 C [EC:2.3.2.26]
* LOC_Os05g06700.2    K26752  128.13  205.5   8.9e-61 golgi apparatus membrane protein TVP23
* LOC_Os05g06700.1    K26752  128.13  204.6   1.7e-60 golgi apparatus membrane protein TVP23
* LOC_Os05g06750.1    K00382  459.67  719.0  1.9e-216 dihydrolipoyl dehydrogenase [EC:1.8.1.4]
* LOC_Os05g06760.1    K18624  167.23  481.8  1.1e-144 macrophage erythroblast attacher
* LOC_Os05g06760.2    K18624  167.23  436.9  4.4e-131 macrophage erythroblast attacher
* LOC_Os05g06770.1    K02977  181.60  344.1  7.1e-103 ubiquitin-small subunit ribosomal protein S27Ae
* LOC_Os05g06840.1    K02325   71.47  452.9    1e-135 DNA polymerase epsilon subunit 2 [EC:2.7.7.7]
* LOC_Os05g06970.1    K00430  110.93  473.9  5.1e-142 peroxidase [EC:1.11.1.7]
* LOC_Os05g07030.1    K01887   98.23  736.7  2.2e-221 arginyl-tRNA synthetase [EC:6.1.1.19]
* LOC_Os05g07030.2    K01887   98.23  734.3  1.2e-220 arginyl-tRNA synthetase [EC:6.1.1.19]
* LOC_Os05g07040.1    K26274  140.67  436.4  2.5e-131 PHD finger protein ALFIN-LIKE
* LOC_Os05g07050.1    K12856 1648.27 4855.1         0 pre-mRNA-processing factor 8
* LOC_Os05g07070.5    K19041  126.03  127.9   3.5e-37 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
* LOC_Os05g07070.3    K19041  126.03  127.9   3.5e-37 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
* LOC_Os05g07070.8    K19041  126.03  127.9   3.5e-37 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
* LOC_Os05g07070.2    K19041  126.03  127.9   3.5e-37 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
* LOC_Os05g07070.7    K19041  126.03  127.9   3.5e-37 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
* LOC_Os05g07070.4    K19041  126.03  127.9   3.5e-37 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27]
* LOC_Os05g07140.1    K19038  162.10  173.1   5.1e-51 E3 ubiquitin-protein ligase ATL41 [EC:2.3.2.27]
